chunk_id,source_title,source_url,source_version,locator,evidence_text
FDA_INDICATION,"ENHERTU Prescribing Information",https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761139s038s042lbl.pdf,"Revised 12/2025","Section 1.4, PDF p.2","适应证为成人局部晚期或转移性 HER2 阳性胃或胃食管交界部腺癌，既往接受过 trastuzumab 方案；胃癌 HER2 阳性为 IHC3+ 或 IHC2+/ISH+。"
FDA_SELECTION,"ENHERTU Prescribing Information",https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761139s038s042lbl.pdf,"Revised 12/2025","Section 2.1, PDF p.3","选择局部晚期或转移性 HER2 阳性胃癌患者时依据 HER2 蛋白过表达或基因扩增。既往 trastuzumab 治疗后、开始 Enhertu 前，如可获得新的肿瘤标本，应重新评估 HER2 状态。"
FDA_DOSAGE,"ENHERTU Prescribing Information",https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761139s038s042lbl.pdf,"Revised 12/2025","Section 2.2, PDF p.4","胃或胃食管交界部腺癌推荐 Enhertu 6.4 mg/kg 静脉给药，每 3 周一次，直至疾病进展或不可接受毒性。5.4 mg/kg 用于标签列出的乳腺癌、HER2 突变 NSCLC 及其他实体瘤适应证，不是胃癌推荐剂量。"
FDA_PEDIATRIC,"ENHERTU Prescribing Information",https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761139s038s042lbl.pdf,"Revised 12/2025","Section 8.4, PDF p.32","Enhertu 在儿科患者中的安全性和有效性尚未建立；胃癌适应证写明为成人患者，不包括 12 岁及以上青少年适应证。"
NCI_TRIAL,"Gastric Cancer Treatment (PDQ)",https://www.cancer.gov/types/stomach/hp/stomach-treatment-pdq,"Updated 2025-02-21","Trastuzumab deruxtecan evidence, lines 551–557","DESTINY-Gastric01 是开放标签、随机Ⅱ期研究，纳入日本和韩国 187 名既往至少两线且含 trastuzumab 后进展的 HER2 阳性晚期胃癌患者；按 2:1 分配至 T-DXd 或医生选择化疗。主要终点是客观缓解；ORR 为 51% 对 14%，中位 OS 为 12.5 对 8.4 个月。"
NCI_SAFETY,"Gastric Cancer Treatment (PDQ)",https://www.cancer.gov/types/stomach/hp/stomach-treatment-pdq,"Updated 2025-02-21","Trastuzumab deruxtecan evidence, line 558","DESTINY-Gastric01 中 T-DXd 常见安全性结果包括 3–4 级中性粒细胞减少 51%、3–4 级贫血 38%；12 名患者即 10% 发生药物相关间质性肺病。"
EMA_INDICATION_STUDY,"Enhertu EPAR",https://www.ema.europa.eu/en/medicines/human/EPAR/enhertu,"Last updated 2026-07-16","Therapeutic indication and gastric cancer benefit sections","欧盟胃癌适应证为既往接受 trastuzumab 方案的成人晚期 HER2 阳性胃或胃食管交界部腺癌。主要研究纳入 79 名既往 trastuzumab 后疾病恶化患者，33/79 即 42% 出现肿瘤缩小，平均持续 8 个月；研究未与其他药物或安慰剂比较。"
EMA_SAFETY,"Enhertu EPAR",https://www.ema.europa.eu/en/medicines/human/EPAR/enhertu,"Last updated 2026-07-16","Side effects and restrictions section","Enhertu 可发生严重间质性肺病和肺炎，最多可能影响十分之一患者；不良反应频率和严重程度取决于所治疗癌种，因此该总体上限不能证明某个胃癌亚组发生率恰好为 10%。"
PUBMED_REVIEW_38963593,"Antibody-drug conjugates in gastric cancer: from molecular landscape to clinical strategies",https://pubmed.ncbi.nlm.nih.gov/38963593/,"Epub 2024-07-04; checked 2026-09-01","PubMed abstract","综述将 ADC 视为胃癌靶向治疗的重要组成部分，概述临床试验和与单抗、化疗、免疫治疗等联合模式；讨论结构或其他因素引起的耐药局限、药物开发改进和伴随诊断，并强调最佳治疗策略仍在持续演变。该摘要不是监管批准或临床指南，也未给出特定 ADC 的精确 ORR 或 OS。"
PUBMED_REVIEW_41484653,"Antibody-drug conjugates in gastric cancer: clinical advances and resistance mechanisms",https://pubmed.ncbi.nlm.nih.gov/41484653/,"Epub 2026-01-04; checked 2026-09-01","PubMed abstract","2026 综述概述 HER2、CLDN18.2、TROP2、CEACAM5/6 和 HER3 等胃癌 ADC 靶点；T-DXd 与 disitamab vedotin 在既往治疗晚期疾病中的生存和缓解改善，以及 CLDN18.2/TROP2 的鼓舞性早期结果。研究正在向早线和一线联合评估推进，但不等于已成为标准。耐药机制包括抗原丢失/异质性、内化与溶酶体处理受损、药物外排及免疫抑制微环境。"
PMC_MECHANISM,"Navigating the future of gastric cancer treatment: a review on the impact of antibody-drug conjugates",https://pmc.ncbi.nlm.nih.gov/articles/PMC11972320/,"Cell Death Discovery 2025; CC BY 4.0; checked 2026-09-01","Mechanism of action; Chinese paraphrase","ADC 先结合肿瘤细胞表面特异靶点，随后经内体—溶酶体途径内化；连接子裂解或抗体降解释放细胞毒载荷。载荷可作用于微管或 DNA，部分可穿过细胞膜产生邻近细胞的旁观者杀伤。"
PMC_RESISTANCE,"Navigating the future of gastric cancer treatment: a review on the impact of antibody-drug conjugates",https://pmc.ncbi.nlm.nih.gov/articles/PMC11972320/,"Cell Death Discovery 2025; CC BY 4.0; checked 2026-09-01","Drug resistance; Chinese paraphrase","ADC 耐药既可在用药后出现，属于继发或获得性耐药，也可在治疗开始时就存在，属于原发或 de novo 耐药；文章将耐药视为需要解决的重要障碍。"
PMC_RC48,"Navigating the future of gastric cancer treatment: a review on the impact of antibody-drug conjugates",https://pmc.ncbi.nlm.nih.gov/articles/PMC11972320/,"Cell Death Discovery 2025; CC BY 4.0; checked 2026-09-01","ADCs in GC treatment > Target HER2 > RC48; Chinese paraphrase","综述称 RC48 由高亲和力抗 HER2 单抗 hertuzumab、可裂解连接子和 MMAE 构成，并转述其 2021 年 NMPA 批准用于既往至少两种系统化疗方案后的 HER2 过表达局部晚期或转移性胃/GEJ 癌。该二手转述不能替代当前 NMPA 原始标签核验。"
PMC_TDXD,"Navigating the future of gastric cancer treatment: a review on the impact of antibody-drug conjugates",https://pmc.ncbi.nlm.nih.gov/articles/PMC11972320/,"Cell Death Discovery 2025; CC BY 4.0; checked 2026-09-01","ADCs in GC treatment > Target HER2 > DS-8201a; Chinese paraphrase","T-DXd 由 trastuzumab、可裂解四肽连接子和拓扑异构酶Ⅰ抑制剂 DXd 组成，DAR 为 8。文章讨论了低 HER2 表达研究潜力，但不支持其对每位 HER2-low 胃癌患者必然有效。"
PMC_CMG901,"Navigating the future of gastric cancer treatment: a review on the impact of antibody-drug conjugates",https://pmc.ncbi.nlm.nih.gov/articles/PMC11972320/,"Cell Death Discovery 2025; CC BY 4.0; checked 2026-09-01","ADCs in GC treatment > Target CLDN18.2 > CMG901; Chinese paraphrase","CMG901 由靶向 CLDN18.2 的人源化单抗 CM311、可裂解连接子和 MMAE 组成。文章描述的是晚期实体瘤Ⅰ期研究，并转述 89 人中 ORR 33%、DCR 70%；这不等于面向所有晚期胃癌患者的 FDA 商业上市批准。"
PMC_SKB264,"Navigating the future of gastric cancer treatment: a review on the impact of antibody-drug conjugates",https://pmc.ncbi.nlm.nih.gov/articles/PMC11972320/,"Cell Death Discovery 2025; CC BY 4.0; checked 2026-09-01","ADCs in GC treatment > Target TROP2 > SKB264; Chinese paraphrase","SKB264 是抗 TROP2 单抗通过可裂解连接子连接拓扑异构酶Ⅰ抑制剂的 ADC。Ⅰ–Ⅱ期 first-in-human 初步结果有 17 名可评患者，ORR 35.3%、DCR 70.6%，并提到 1 名胃癌患者部分缓解；文章未报告胃癌随机Ⅲ期或 18.7 个月 OS。"
PMC_CONCLUSION,"Navigating the future of gastric cancer treatment: a review on the impact of antibody-drug conjugates",https://pmc.ncbi.nlm.nih.gov/articles/PMC11972320/,"Cell Death Discovery 2025; CC BY 4.0; checked 2026-09-01","Conclusions and perspectives; Chinese paraphrase","综述把下一代 ADC、组合治疗、更精准的靶向与溶酶体递送、更强载荷和稳定可裂解连接子列为未来方向，同时强调结构复杂、靶向递送、毒性、耐药和抗原异质性等挑战。展望不构成对每位患者的确定性生存保证。"
